Taxon,Brachymyrmex cordemoyi,Camponotus maculatus,Cardiocondyla emeryi,Hypoponera mu03,Hypoponera punctatissima,Monomorium floricola,Nylanderia bourbonica,Pheidole indica,Pheidole megacephala,Pheidole parva,Strumigenys simoni,Syllophopsis sechellensis,Tapinoma melanocephalum,Tapinoma subtile,Technomyrmex pallipes,Technomyrmex vitiensis,Tetramorium simillimum
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Brachymyrmex cordemoyi,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brachymyrmex cordemoyi,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Camponotus maculatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cardiocondyla emeryi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Cardiocondyla emeryi,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Cardiocondyla emeryi,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Cardiocondyla emeryi,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Cardiocondyla emeryi,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
Hypoponera mu03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hypoponera mu03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hypoponera mu03,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Hypoponera punctatissima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monomorium floricola,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Monomorium floricola,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Monomorium floricola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monomorium floricola,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Monomorium floricola,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Monomorium floricola,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Monomorium floricola,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Monomorium floricola,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Monomorium floricola,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Monomorium floricola,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Monomorium floricola,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Monomorium floricola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Monomorium floricola,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Monomorium floricola,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Monomorium floricola,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Monomorium floricola,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Nylanderia bourbonica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nylanderia bourbonica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nylanderia bourbonica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nylanderia bourbonica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nylanderia bourbonica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Nylanderia bourbonica,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Nylanderia bourbonica,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Nylanderia bourbonica,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Pheidole indica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole indica,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pheidole indica,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pheidole indica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole indica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole indica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole indica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole indica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole indica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole indica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole indica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole indica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole indica,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole indica,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pheidole indica,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole indica,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole indica,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pheidole indica,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Pheidole megacephala,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pheidole megacephala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pheidole megacephala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pheidole megacephala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pheidole megacephala,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pheidole megacephala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pheidole megacephala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pheidole megacephala,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pheidole megacephala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
